Country,ISO_Code,GDLCODE,Region
Equatorial Guinea,GNQ,GNQr101,"Annobon, Bioko"
Equatorial Guinea,GNQ,GNQr102,Centro Sur
Equatorial Guinea,GNQ,GNQr103,Kie Ntem
Equatorial Guinea,GNQ,GNQr104,Litoral
Equatorial Guinea,GNQ,GNQr105,Wele Nzas
Eritrea,ERI,ERIt,Total
Eritrea,ERI,ERIr104,Anseba
Eritrea,ERI,ERIr106,Debub (Southern)
Eritrea,ERI,ERIr101,Debubawi Keyih Bahri (Southern Red Sea)
Eritrea,ERI,ERIr105,Gash Barka
Eritrea,ERI,ERIr102,Maekel (Central including Asmara)
Eritrea,ERI,ERIr103,Semenawi Keyih Bahri (Northern Red Sea)
Estonia,EST,ESTt,Total
Estonia,EST,ESTr103,Kesk-Eesti
Estonia,EST,ESTr104,Kirde-Eesti
Estonia,EST,ESTr102,Laane-Eesti
Estonia,EST,ESTr105,Louna-Eesti
Estonia,EST,ESTr101,Pohja-Eesti
Eswatini,SWZ,SWZt,Total
Eswatini,SWZ,SWZr101,Hhohho
Eswatini,SWZ,SWZr104,Lubombo
Eswatini,SWZ,SWZr102,Manzini
Eswatini,SWZ,SWZr103,Shiselweni
Ethiopia,ETH,ETHt,Total
Ethiopia,ETH,ETHr110,Addis
Ethiopia,ETH,ETHr102,Affar
Ethiopia,ETH,ETHr103,Amhara
Ethiopia,ETH,ETHr106,Ben-Gumz
Ethiopia,ETH,ETHr111,Dire Dawa
Ethiopia,ETH,ETHr108,Gambela
Ethiopia,ETH,ETHr109,Harari
Ethiopia,ETH,ETHr104,Oromiya
Ethiopia,ETH,ETHr107,SNNP
Ethiopia,ETH,ETHr105,Somali
Ethiopia,ETH,ETHr101,Tigray
Fiji,FJI,FJIt,Total
Fiji,FJI,FJIr108,Ba
Fiji,FJI,FJIr106,"Cakaudrove, Bua"
Fiji,FJI,FJIr105,"Kadavu, Lau, Lomaiviti, Rotuma"
Fiji,FJI,FJIr107,Macuata
Fiji,FJI,FJIr109,Nadroga or Navosa
Fiji,FJI,FJIr101,Naitasiri
Fiji,FJI,FJIr110,Ra
Fiji,FJI,FJIr102,Rewa
Fiji,FJI,FJIr103,"Serua, Namosi"
Fiji,FJI,FJIr104,Tailevu
Finland,FIN,FINt,Total
Finland,FIN,FINr105,Aland
Finland,FIN,FINr103,Etela-Suomi
Finland,FIN,FINr102,Helsinki-Uusimaa
Finland,FIN,FINr101,Lansi-Suomi
Finland,FIN,FINr104,Pohjois-ja Ita-Suomi
France,FRA,FRAt,Total
France,FRA,FRAr110,Alsace
France,FRA,FRAr115,Aquitaine
France,FRA,FRAr119,Auvergne
France,FRA,FRAr106,Basse-Normandie
France,FRA,FRAr107,Bourgogne
France,FRA,FRAr113,Bretagne
France,FRA,FRAr105,Centre
France,FRA,FRAr102,Champagne-Ardenne
France,FRA,FRAr122,Corse
France,FRA,FRAr111,Franche-Comte
France,FRA,FRAr127,French Guyana
France,FRA,FRAr125,Guadeloupe
France,FRA,FRAr104,Haute-Normandie
France,FRA,FRAr101,Ile de France
France,FRA,FRAr120,Languedoc-Roussillon
France,FRA,FRAr117,Limousin
France,FRA,FRAr109,Lorraine
France,FRA,FRAr126,Martinique
France,FRA,FRAr129,Mayotte
France,FRA,FRAr116,Midi-Pyrenees
France,FRA,FRAr108,Nord
France,FRA,FRAr112,Pays de la Loire
France,FRA,FRAr103,Picardie
France,FRA,FRAr114,Poitou-Charentes
France,FRA,FRAr121,Provence-Alpes-Cote dAzur
France,FRA,FRAr128,Reunion
France,FRA,FRAr118,Rhone-Alpes
Gabon,GAB,GABt,Total
Gabon,GAB,GABr101,Estuaire
Gabon,GAB,GABr102,Haut Ogooue
Gabon,GAB,GABr110,Libreville-Port Gentil
Gabon,GAB,GABr103,Moyen Ogooue
Gabon,GAB,GABr104,Ngounie
Gabon,GAB,GABr105,Nyanga
Gabon,GAB,GABr106,Ogooue Ivindo
Gabon,GAB,GABr107,Ogooue Lolo
Gabon,GAB,GABr108,Ogooue Maritime
Gabon,GAB,GABr109,Woleu Ntem
Gambia,GMB,GMBt,Total
Gambia,GMB,GMBr101,Banjul LGA
Gambia,GMB,GMBr107,"Central River, Janjabureh LGA"
Gambia,GMB,GMBr106,"Central River, Kuntaur LGA"
Gambia,GMB,GMBr102,Kanifing LGA
Gambia,GMB,GMBr104,"Lower River, Mansakonko LGA"
Gambia,GMB,GMBr105,"North Bank, Kerewan LGA"
Gambia,GMB,GMBr108,"Upper River, Basse LGA"
Gambia,GMB,GMBr103,"Western, Brikama LGA"
Georgia,GEO,GEOt,Total
Georgia,GEO,GEOr102,Ajaria
Georgia,GEO,GEOr103,Guria
Georgia,GEO,GEOr104,Imereti
Georgia,GEO,GEOr105,Kakheti
Georgia,GEO,GEOr106,Kvemo Kartli
Georgia,GEO,GEOr107,Mtskheta-Mtianeti
Georgia,GEO,GEOr108,Racha-Lochkhumi-Kvemo Svaneti
Georgia,GEO,GEOr109,Samegrelo-Zemo Svateni
Georgia,GEO,GEOr110,Samtskhe-Javakheti
Georgia,GEO,GEOr111,Shida Kartli
Georgia,GEO,GEOr112,Tbilisi
Germany,DEU,DEUt,Total
Germany,DEU,DEUr101,Baden-Wurttemberg
Germany,DEU,DEUr102,Bayern
Germany,DEU,DEUr103,Berlin
Germany,DEU,DEUr104,Brandenburg
Germany,DEU,DEUr105,Bremen
Germany,DEU,DEUr106,Hamburg
Germany,DEU,DEUr107,Hessen
Germany,DEU,DEUr108,Mecklenburg-Vorpommern
Germany,DEU,DEUr109,Niedersachsen
Germany,DEU,DEUr110,Nordrhein-Westfalen
Germany,DEU,DEUr111,Rheinland-Pfalz
Germany,DEU,DEUr112,Saarland
Germany,DEU,DEUr113,Sachsen
Germany,DEU,DEUr114,Sachsen-Anhalt
Germany,DEU,DEUr115,Schleswig-Holstein
Germany,DEU,DEUr116,Thuringen
Ghana,GHA,GHAt,Total
Ghana,GHA,GHAr106,Ashanti
Ghana,GHA,GHAr107,Brong Ahafo
Ghana,GHA,GHAr102,Central
Ghana,GHA,GHAr105,Eastern
Ghana,GHA,GHAr103,Greater Accra
Ghana,GHA,GHAr108,Northern
Ghana,GHA,GHAr110,Upper East
Ghana,GHA,GHAr109,Upper West
Ghana,GHA,GHAr104,Volta
Ghana,GHA,GHAr101,Western
Greece,GRC,GRCt,Total
Greece,GRC,GRCr105,"Anatoliki Makedonia, Thraki"
Greece,GRC,GRCr101,Attiki
Greece,GRC,GRCr111,Dytiki Ellada
Greece,GRC,GRCr107,Dytiki Makedonia
Greece,GRC,GRCr110,Ionia Nisia
Greece,GRC,GRCr108,Ipeiros
Greece,GRC,GRCr106,Kentriki Makedonia
Greece,GRC,GRCr104,Kriti
Greece,GRC,GRCr103,Notio Aigaio
Greece,GRC,GRCr113,Peloponnisos
Greece,GRC,GRCr112,Sterea Ellada
Greece,GRC,GRCr109,Thessalia
Greece,GRC,GRCr102,Voreio Aigaio
Grenada,GRD,GRDt,Total
Guatemala,GTM,GTMt,Total
Guatemala,GTM,GTMr105,Central
Guatemala,GTM,GTMr101,Metropolitan
Guatemala,GTM,GTMr102,North
Guatemala,GTM,GTMr107,North-Occidental
Guatemala,GTM,GTMr103,North-Oriental
Guatemala,GTM,GTMr108,Peten
Guatemala,GTM,GTMr106,South-Occidental
Guatemala,GTM,GTMr104,South-Oriental
Guinea,GIN,GINt,Total
Guinea,GIN,GINr101,Boke
Guinea,GIN,GINr102,Conakry
Guinea,GIN,GINr103,Faranah
Guinea,GIN,GINr104,Kankan
Guinea,GIN,GINr105,Kindia
Guinea,GIN,GINr106,Labe
Guinea,GIN,GINr107,Mamou
Guinea,GIN,GINr108,N Zerekore
Guinea Bissau,GNB,GNBt,Total
Guinea Bissau,GNB,GNBr106,Bafata
Guinea Bissau,GNB,GNBr104,Biombo
Guinea Bissau,GNB,GNBr109,Bissau
Guinea Bissau,GNB,GNBr105,Bolama
Guinea Bissau,GNB,GNBr108,Cacheu
Guinea Bissau,GNB,GNBr107,Gabu
Guinea Bissau,GNB,GNBr103,Oio
Guinea Bissau,GNB,GNBr102,Quinara
Guinea Bissau,GNB,GNBr101,Tombali
Guyana,GUY,GUYt,Total
Guyana,GUY,GUYr101,Barima-Waini
Guyana,GUY,GUYr107,Cuyuni-Mazaruni
Guyana,GUY,GUYr104,Demerara-Mahaica
Guyana,GUY,GUYr106,East Berbice-Corentyne
Guyana,GUY,GUYr103,Essequibo Islands-West Demerara
Guyana,GUY,GUYr105,Mahaica-Berbice
Guyana,GUY,GUYr102,Pomeroon-Supenaam
Guyana,GUY,GUYr108,Potaro-Siparuni
Guyana,GUY,GUYr110,Upper Demerara-Berbice
Guyana,GUY,GUYr109,Upper Takutu-Upper Essequibo
Haiti,HTI,HTIt,Total
Haiti,HTI,HTIr105,Artibonite
Haiti,HTI,HTIr106,Centre
Haiti,HTI,HTIr108,"Grande-Anse, Nippes"
Haiti,HTI,HTIr103,North
Haiti,HTI,HTIr104,North-East
Haiti,HTI,HTIr109,North-West
Haiti,HTI,HTIr107,South
Haiti,HTI,HTIr102,South-East
Haiti,HTI,HTIr101,West (incl Metropolitain area)
Honduras,HND,HNDt,Total
Honduras,HND,HNDr101,Atlantida
Honduras,HND,HNDr106,Choluteca
Honduras,HND,HNDr102,Colon
Honduras,HND,HNDr103,Comayagua
Honduras,HND,HNDr104,Copan
Honduras,HND,HNDr105,Cortes
Honduras,HND,HNDr107,El Paraiso
Honduras,HND,HNDr108,Francisco Morazan
Honduras,HND,HNDr109,Gracias a Dios
Honduras,HND,HNDr110,Intibuca
Honduras,HND,HNDr111,Islas de la Bahia
Honduras,HND,HNDr112,La Paz
Honduras,HND,HNDr113,Lempira
Honduras,HND,HNDr114,Ocotepeque
Honduras,HND,HNDr115,Olancho
Honduras,HND,HNDr116,Santa Barbara
Honduras,HND,HNDr117,Valle
Honduras,HND,HNDr118,Yoro
Hungary,HUN,HUNt,Total
Hungary,HUN,HUNr107,Del-Alfold
Hungary,HUN,HUNr104,Del-Dunantul
Hungary,HUN,HUNr106,Eszak-Alfold
Hungary,HUN,HUNr105,Eszak-Magyarorszag
Hungary,HUN,HUNr102,Kozep-Dunantul
Hungary,HUN,HUNr101,Kozep-Magyarorszag
Hungary,HUN,HUNr103,Nyugat-Dunantul
Iceland,ISL,ISLt,Total
India,IND,INDt,Total
India,IND,INDr136,Andaman and Nicobar Islands
India,IND,INDr101,Andhra Pradesh
India,IND,INDr125,Arunachal Pradesh
India,IND,INDr102,Assam
India,IND,INDr103,Bihar
India,IND,INDr131,Chandigarth
India,IND,INDr129,Chhattisgarh
India,IND,INDr132,Dadra and Nagar Haveli
India,IND,INDr134,Daman and Diu
India,IND,INDr104,Goa
India,IND,INDr105,Gujarat
India,IND,INDr106,Haryana
India,IND,INDr107,Himachal Pradesh
India,IND,INDr108,Jammu and Kashmir
India,IND,INDr128,Jharkhand
India,IND,INDr109,Karnataka
India,IND,INDr110,Kerala
India,IND,INDr135,Lakshadweep
India,IND,INDr111,Madhya Pradesh
India,IND,INDr112,Maharashtra
India,IND,INDr113,Manipur
India,IND,INDr114,Meghalaya
India,IND,INDr115,Mizoram
India,IND,INDr116,Nagaland
India,IND,INDr124,New Delhi
India,IND,INDr117,Orissa
India,IND,INDr133,Puducherry
India,IND,INDr118,Punjab
India,IND,INDr119,Rajasthan
India,IND,INDr120,Sikkim
India,IND,INDr121,Tamil Nadu
India,IND,INDr130,Telangana
India,IND,INDr126,Tripura
India,IND,INDr123,Uttar Pradesh
India,IND,INDr127,Uttaranchal
India,IND,INDr122,West Bengal
Indonesia,IDN,IDNt,Total
Indonesia,IDN,IDNr116,Bali
Indonesia,IDN,IDNr109,Bangka Belitung
Indonesia,IDN,IDNr115,Banten
Indonesia,IDN,IDNr107,Bengkulu
Indonesia,IDN,IDNr112,Central Java
Indonesia,IDN,IDNr121,Central Kalimantan
Indonesia,IDN,IDNr125,Central Sulawesi
Indonesia,IDN,IDNr101,DI Aceh
Indonesia,IDN,IDNr113,DI Yogyakarta
Indonesia,IDN,IDNr110,DKI Jakarta
Indonesia,IDN,IDNr114,East Java
Indonesia,IDN,IDNr123,East Kalimantan
Indonesia,IDN,IDNr118,East Nusa Tenggara
Indonesia,IDN,IDNr119,East Timor
Indonesia,IDN,IDNr128,Gorontalo
Indonesia,IDN,IDNr130,Irian Jaya (Papua and Papua Barat)
Indonesia,IDN,IDNr105,Jambi
Indonesia,IDN,IDNr108,Lampung
Indonesia,IDN,IDNr129,Maluku
Indonesia,IDN,IDNr124,North Sulawesi
Indonesia,IDN,IDNr102,North Sumatra
Indonesia,IDN,IDNr104,Riau (incl. Riau islands)
Indonesia,IDN,IDNr122,South Kalimantan
Indonesia,IDN,IDNr126,South Sulawesi (incl Sulawesi Barat)
Indonesia,IDN,IDNr106,South Sumatra
Indonesia,IDN,IDNr127,Southeast Sulawesi
Indonesia,IDN,IDNr111,West Java
Indonesia,IDN,IDNr120,West Kalimantan
Indonesia,IDN,IDNr117,West Nusa Tenggara
Indonesia,IDN,IDNr103,West Sumatra
Iran,IRN,IRNt,Total
Iran,IRN,IRNr125,Ardebil
Iran,IRN,IRNr119,Bushehr
Iran,IRN,IRNr115,Chaharmahal and Bakhtiyari
Iran,IRN,IRNr104,EastAzarbayejan
Iran,IRN,IRNr111,Esfahan
Iran,IRN,IRNr108,Fars
Iran,IRN,IRNr102,Gilan
Iran,IRN,IRNr128,Golestan
Iran,IRN,IRNr114,Hamedan
Iran,IRN,IRNr123,Hormozgan
Iran,IRN,IRNr117,Ilam
Iran,IRN,IRNr109,Kerman
Iran,IRN,IRNr106,Kermanshah
Iran,IRN,IRNr110,Khorasan-e-Razavi
Iran,IRN,IRNr107,Khuzestan
Iran,IRN,IRNr118,Kohgiluyeh and Boyerahmad
Iran,IRN,IRNr113,Kordestan
Iran,IRN,IRNr116,Lorestan
Iran,IRN,IRNr101,Markazi
Iran,IRN,IRNr103,Mazandaran
Iran,IRN,IRNr129,North Khorasan
Iran,IRN,IRNr127,Qazvin
Iran,IRN,IRNr126,Qom
Iran,IRN,IRNr121,Semnan
Iran,IRN,IRNr112,Sistanand Baluchestan
Iran,IRN,IRNr130,South Khorasan
Iran,IRN,IRNr124,Tehran and Alborz
Iran,IRN,IRNr105,WestAzarbayejan
Iran,IRN,IRNr122,Yazd
Iran,IRN,IRNr120,Zanjan
Iraq,IRQ,IRQt,Total
Iraq,IRQ,IRQr107,Anbar
Iraq,IRQ,IRQr109,Babylon
Iraq,IRQ,IRQr108,Baghdad
Iraq,IRQ,IRQr118,Basra
Iraq,IRQ,IRQr106,Diala
Iraq,IRQ,IRQr101,Dohouk
Iraq,IRQ,IRQr105,Erbil
Iraq,IRQ,IRQr110,Kerbela
Iraq,IRQ,IRQr117,Maysan
Iraq,IRQ,IRQr115,Muthanna
Iraq,IRQ,IRQr113,Najaf
Iraq,IRQ,IRQr102,Nenava
Iraq,IRQ,IRQr114,Qadisiya
Iraq,IRQ,IRQr112,Salaheldeen
Iraq,IRQ,IRQr103,Suleimaniya
Iraq,IRQ,IRQr104,Ta-amem-Karkuk
Iraq,IRQ,IRQr116,Thi-Qar
Iraq,IRQ,IRQr111,Wasit
Ireland,IRL,IRLt,Total
Ireland,IRL,IRLr101,Border
Ireland,IRL,IRLr104,Dublin
Ireland,IRL,IRLr105,Mid-East
Ireland,IRL,IRLr106,Mid-West
Ireland,IRL,IRLr102,Midland
Ireland,IRL,IRLr107,South-East
Ireland,IRL,IRLr108,South-West
Ireland,IRL,IRLr103,West
Israel,ISR,ISRt,Total
Italy,ITA,ITAt,Total
Italy,ITA,ITAr105,Abruzzo
Italy,ITA,ITAr109,Basilicata
Italy,ITA,ITAr110,Calabria
Italy,ITA,ITAr107,Campania
Italy,ITA,ITAr117,Emilia-Romagna
Italy,ITA,ITAr116,Friuli-Venezia Giulia
Italy,ITA,ITAr121,Lazio
Italy,ITA,ITAr103,Liguria
Italy,ITA,ITAr104,Lombardia
Italy,ITA,ITAr120,Marche
Italy,ITA,ITAr106,Molise
Italy,ITA,ITAr101,Piemonte
Italy,ITA,ITAr113,Provincia Autonoma di Bolzano
Italy,ITA,ITAr114,Provincia Autonoma di Trento
Italy,ITA,ITAr108,Puglia
Italy,ITA,ITAr112,Sardegna
Italy,ITA,ITAr111,Sicilia
Italy,ITA,ITAr118,Toscana
Italy,ITA,ITAr119,Umbria
Italy,ITA,ITAr102,Valle dAosta
Italy,ITA,ITAr115,Veneto
Jamaica,JAM,JAMt,Total
Jamaica,JAM,JAMr101,"Kingston, St Andrew"
Jamaica,JAM,JAMr106,"Manchester, Clarendon"
Jamaica,JAM,JAMr103,"St Ann, St Catherine"
Jamaica,JAM,JAMr105,"St James, Hanover, Westmoreland"
Jamaica,JAM,JAMr102,"St Thomas, Portland, St Mary"
Jamaica,JAM,JAMr104,"Trelawny, St Elizabeth"
Japan,JPN,JPNt,Total
Japan,JPN,JPNr108,"Chugoku (Tottori, Shimane, Okayama, Hiroshima, Yamaguchi)"
Japan,JPN,JPNr101,Hokkaido
Japan,JPN,JPNr105,"Hokuriku (Niigata, Toyama, Ishikawa, Fukui)"
Japan,JPN,JPNr107,"Kansai region (Shiga, Kyoto, Osaka, Hyogo, Nara, Wakayama)"
Japan,JPN,JPNr110,"Kyushu (Fukuoka, Saga, Nagasaki, Kumamoto, Oita, Miyazaki, Kagoshima, Okinawa)"
Japan,JPN,JPNr103,"Northern-Kanto, Koshin (Ibaraki, Tochigi, Gunma)"
Japan,JPN,JPNr109,"Shikoku (Tokushima, Kagawa, Ehime, Kochi)"
Japan,JPN,JPNr104,"Southern-Kanto (Saitama, Chiba, Tokyo, Kanagawa, Yamanashi, Nagano)"
Japan,JPN,JPNr102,"Tohoku (Aomori, Iwate, Miyagi, Akita, Yamagata, Fukushima)"
Japan,JPN,JPNr106,"Toukai (Gifu, Shizuoka, Aichi, Mie)"
Jordan,JOR,JORt,Total
Jordan,JOR,JORr108,Aljoun
Jordan,JOR,JORr101,Amman
Jordan,JOR,JORr112,Aqaba
Jordan,JOR,JORr102,Balqa
Jordan,JOR,JORr105,Irbid
Jordan,JOR,JORr107,Jarash
Jordan,JOR,JORr109,Karak
Jordan,JOR,JORr111,Maan
Jordan,JOR,JORr104,Madaba
Jordan,JOR,JORr106,Mafraq
Jordan,JOR,JORr110,Tafiela
Jordan,JOR,JORr103,Zarqa
Kazakhstan,KAZ,KAZt,Total
Kazakhstan,KAZ,KAZr101,Almaty city
Kazakhstan,KAZ,KAZr104,Central region (Karagandinskaya)
Kazakhstan,KAZ,KAZr106,East region (East-Kazakhstanskaya)
Kazakhstan,KAZ,KAZr105,"North region (Akmolinskaya (incl Astana city), Kostnaiskaya, Pavlodarskaya, North-Kazakhstanskaya)"
Kazakhstan,KAZ,KAZr102,"South region (Almatinskaya, Zhambylskaya, Kyzylordinskaya, South-Kazakhstanskaya)"
Kazakhstan,KAZ,KAZr103,"West region (Aktyubinskaya, Atyrauskaya, Mangistauskaya, West-Kazakhstanskaya)"
Kenya,KEN,KENt,Total
Kenya,KEN,KENr102,Central
Kenya,KEN,KENr103,Coast
Kenya,KEN,KENr104,Eastern
Kenya,KEN,KENr101,Nairobi
Kenya,KEN,KENr108,North Eastern
Kenya,KEN,KENr105,Nyanza
Kenya,KEN,KENr106,Rift Valley
Kenya,KEN,KENr107,Western
Kiribati,KIR,KIRt,Total
Kosovo,XKO,KSVt,Total
Kosovo,XKO,KSVr107,Ferizaj
Kosovo,XKO,KSVr101,Gjakova
Kosovo,XKO,KSVr102,Gjilan
Kosovo,XKO,KSVr103,Mitrovica
Kosovo,XKO,KSVr104,Peja
Kosovo,XKO,KSVr106,Pristina
Kosovo,XKO,KSVr105,Prizren
Kuwait,KWT,KWTt,Total
Kuwait,KWT,KWTr102,Ahmadi
Kuwait,KWT,KWTr101,"Al Asimah, Hawalli, Al-Farwaniyah, Mubarak al-Sabah"
Kuwait,KWT,KWTr103,Al-Jahra
Kyrgyzstan,KGZ,KGZt,Total
Kyrgyzstan,KGZ,KGZr108,Batken
Kyrgyzstan,KGZ,KGZr101,Bishkek
Kyrgyzstan,KGZ,KGZr103,East (Naryn)
Kyrgyzstan,KGZ,KGZr105,Jalal-Abad
Kyrgyzstan,KGZ,KGZr107,Naryn
Kyrgyzstan,KGZ,KGZr102,"North (Issyk-Kul, Chuy, Talas)"
Kyrgyzstan,KGZ,KGZr106,Osh
Kyrgyzstan,KGZ,KGZr104,"South (Osh, Batken, Jalal-Abad)"
Lao,LAO,LAOt,Total
Lao,LAO,LAOr117,Attapeu
Lao,LAO,LAOr105,Bokeo
Lao,LAO,LAOr111,Borikhamxay
Lao,LAO,LAOr116,Champasack
Lao,LAO,LAOr107,Huaphanh
Lao,LAO,LAOr112,Khammuane
Lao,LAO,LAOr103,Luangnamtha
Lao,LAO,LAOr106,Luangprabang
Lao,LAO,LAOr104,Oudomxay
Lao,LAO,LAOr102,Phongsaly
Lao,LAO,LAOr114,Saravane
Lao,LAO,LAOr113,Savannakhet
Lao,LAO,LAOr108,Sayabury
Lao,LAO,LAOr115,Sekong
Lao,LAO,LAOr101,Vientiane Municipality
Lao,LAO,LAOr110,Vientiane Province
Lao,LAO,LAOr109,Xiengkhuang
Latvia,LVA,LVAt,Total
Latvia,LVA,LVAr104,Kurzeme region
Latvia,LVA,LVAr106,Latgale region
Latvia,LVA,LVAr102,Pieriga region
Latvia,LVA,LVAr101,Riga region
Latvia,LVA,LVAr103,Vidzeme region
Latvia,LVA,LVAr105,Zemgale region
Lebanon,LBN,LBNt,Total
Lebanon,LBN,LBNr101,Beirut
Lebanon,LBN,LBNr104,Beqaa
Lebanon,LBN,LBNr102,Mount Lebanon
Lebanon,LBN,LBNr103,Northern
Lebanon,LBN,LBNr105,"Southern, Nabtieh"
Lesotho,LSO,LSOt,Total
Lesotho,LSO,LSOr103,Berea
Lesotho,LSO,LSOr101,Butha-Buthe
Lesotho,LSO,LSOr102,Leribe
Lesotho,LSO,LSOr105,Mafeteng
Lesotho,LSO,LSOr104,Maseru
Lesotho,LSO,LSOr106,Mohale s Hoek
Lesotho,LSO,LSOr109,Mokhotlong
Lesotho,LSO,LSOr108,Qasha s Nek
Lesotho,LSO,LSOr107,Quthing
Lesotho,LSO,LSOr110,Thaba-Tseka
Liberia,LBR,LBRt,Total
Liberia,LBR,LBRr101,Bomi
Liberia,LBR,LBRr102,Bong
Liberia,LBR,LBRr103,Gbarpolu
Liberia,LBR,LBRr104,Grand Bassa
Liberia,LBR,LBRr105,Grand Cape Mount
Liberia,LBR,LBRr106,Grand Gedeh
Liberia,LBR,LBRr107,Grand Kru
Liberia,LBR,LBRr108,Lofa
Liberia,LBR,LBRr109,Margibi
Liberia,LBR,LBRr110,Maryland
Liberia,LBR,LBRr111,Montserrado
Liberia,LBR,LBRr112,Nimba
Liberia,LBR,LBRr113,River Cess
Liberia,LBR,LBRr114,River Gee
Liberia,LBR,LBRr115,Sinoe
Libya,LBY,LBYt,Total
Libya,LBY,LBYr101,Cyrenaica
Libya,LBY,LBYr103,Fezzan
Libya,LBY,LBYr102,Tripolitania
Liechtenstein,LIE,LIEt,Total
Lithuania,LTU,LTUt,Total
Lithuania,LTU,LTUr101,Alytus County
Lithuania,LTU,LTUr102,Kaunas County
Lithuania,LTU,LTUr103,Klaipeda County
Lithuania,LTU,LTUr104,Marijampole County
Lithuania,LTU,LTUr105,Panevezys County
Lithuania,LTU,LTUr106,Siauliai County
Lithuania,LTU,LTUr107,Taurage County
Lithuania,LTU,LTUr108,Telsiai County
Lithuania,LTU,LTUr109,Utena County
Lithuania,LTU,LTUr110,Vilnius County
Luxembourg,LUX,LUXt,Total
Madagascar,MDG,MDGt,Total
Madagascar,MDG,MDGr112,Alaotra Mangoro
Madagascar,MDG,MDGr101,Analamanga
Madagascar,MDG,MDGr111,Analanjirofo
Madagascar,MDG,MDGr106,Anamoroni Mania
Madagascar,MDG,MDGr118,Androy
Madagascar,MDG,MDGr119,Anosy
Madagascar,MDG,MDGr117,Atsimo Andrefana
Madagascar,MDG,MDGr109,Atsimo Atsinanana
Madagascar,MDG,MDGr110,Atsinanana
Madagascar,MDG,MDGr115,Betsiboka
Madagascar,MDG,MDGr113,Boeny
Madagascar,MDG,MDGr104,Bongolava
Madagascar,MDG,MDGr121,Diana
Madagascar,MDG,MDGr105,Haute Matsiatra
Madagascar,MDG,MDGr108,Ihorombe
Madagascar,MDG,MDGr103,Itasy
Madagascar,MDG,MDGr116,Melaky
Madagascar,MDG,MDGr120,Menabe
Madagascar,MDG,MDGr122,Sava
Madagascar,MDG,MDGr114,Sofia
Madagascar,MDG,MDGr102,Vakinankaratra
Madagascar,MDG,MDGr107,Vatovavy Fitovinany
Malawi,MWI,MWIt,Total
Malawi,MWI,MWIr101,Blantyre
Malawi,MWI,MWIr102,Kasungu
Malawi,MWI,MWIr109,Lilongwe
Malawi,MWI,MWIr103,Machinga
Malawi,MWI,MWIr104,Mangochi
Malawi,MWI,MWIr110,Mulanje
Malawi,MWI,MWIr105,Mzimba
Malawi,MWI,MWIr112,"Other central (Nkhota Kota, Mchinji, Dowa, Ntchisi, Dedza, Ntcheu)"
Malawi,MWI,MWIr111,"Other northern (Chitipa, Karonga, Rumphi, Nkhata Bay)"
Malawi,MWI,MWIr113,"Other southern (Balaka, Mwanza, Phalombe, Chiradzulu, Chikwawa, Nsanje, neno)"
Malawi,MWI,MWIr106,Salima
Malawi,MWI,MWIr107,Thyolo
Malawi,MWI,MWIr108,Zomba
Malaysia,MYS,MYSt,Total
Malaysia,MYS,MYSr101,Johor
Malaysia,MYS,MYSr102,Kedah
Malaysia,MYS,MYSr103,Kelantan
Malaysia,MYS,MYSr114,Kuala Lumpur Federal Territory
Malaysia,MYS,MYSr115,Labuan Federal Territory
Malaysia,MYS,MYSr104,Melaka
Malaysia,MYS,MYSr105,Negeri Sembilan
Malaysia,MYS,MYSr106,Pahang
Malaysia,MYS,MYSr108,Perak
Malaysia,MYS,MYSr109,Perlis
Malaysia,MYS,MYSr107,Pulau Pinang
Malaysia,MYS,MYSr112,Sabah
Malaysia,MYS,MYSr113,Sarawak
Malaysia,MYS,MYSr110,Selangor
Malaysia,MYS,MYSr111,Terengganu
Maldives,MDV,MDVt,Total
Maldives,MDV,MDVr104,Central
Maldives,MDV,MDVr101,Male
Maldives,MDV,MDVr102,North
Maldives,MDV,MDVr103,North Central
Maldives,MDV,MDVr106,South
Maldives,MDV,MDVr105,South Central
Mali,MLI,MLIt,Total
Mali,MLI,MLIr108,Bamako
Mali,MLI,MLIr107,Gao and Kidal
Mali,MLI,MLIr101,Kayes
Mali,MLI,MLIr102,Koulikoro
Mali,MLI,MLIr105,Mopti
Mali,MLI,MLIr104,Segou
Mali,MLI,MLIr103,Sikasso
Mali,MLI,MLIr106,Tombouctou
Malta,MLT,MLTt,Total
Malta,MLT,MLTr102,Gozo Region
Malta,MLT,MLTr101,Malta Region
Mauritania,MRT,MRTt,Total
Mauritania,MRT,MRTr107,Adrar
Mauritania,MRT,MRTr103,Assaba
Mauritania,MRT,MRTr105,Brakna
Mauritania,MRT,MRTr104,Gorgol
Mauritania,MRT,MRTr110,Guidimagha
Mauritania,MRT,MRTr101,Hodh Charghi
Mauritania,MRT,MRTr102,Hodh Gharbi
Mauritania,MRT,MRTr112,Inchiri
Mauritania,MRT,MRTr108,Nouadhibou
Mauritania,MRT,MRTr109,Tagant
Mauritania,MRT,MRTr111,Tiris-Zemmour
Mauritania,MRT,MRTr106,Trarza incl Nouakchott
Mauritius,MUS,MUSt,Total
Mauritius,MUS,MUSr101,"North (Port Louis, Pamplemousses, Riviere du Rempart, Flacq, Moka)"
Mauritius,MUS,MUSr103,Rodrigues
