Country,ISO_Code,GDLCODE,Region
Bangladesh,BGD,BGDr212," Faridpur, Manikganj, Rajbari"
Bangladesh,BGD,BGDr206," Feni, Lakshmipur, Noakhali"
Bangladesh,BGD,BGDr209," Gazipur, Narayanganj, Narsingdi"
Bangladesh,BGD,BGDr213," Gopalganj, Madaripur, Munshiganj, Shariatpur"
Bangladesh,BGD,BGDr223," Habiganj, Sunamganj"
Bangladesh,BGD,BGDr210," Jamalpur, Sherpur, Tangail"
Bangladesh,BGD,BGDr215," Jessore, Magura, Narail"
Bangladesh,BGD,BGDr205," Khagrachhari, Rangamati (Chattagram)"
Bangladesh,BGD,BGDr211," Kishoreganj, Mymensingh, Netrakona"
Bangladesh,BGD,BGDr221," Kurigram, Lalmonirhat, Rangpur"
Bangladesh,BGD,BGDr222," Maulvibazar, Sylhet"
Bangladesh,BGD,BGDr217," Naogaon, Nawabganj, Rajshahi"
Bangladesh,BGD,BGDr218," Natore, Pabna, Sirajganj"
Barbados,BRB,BRBt,Total
Barbados,BRB,BRBr102,Christ Church and St. Philip
Barbados,BRB,BRBr101,St Michael
Barbados,BRB,BRBr103,"St. James, St. George, and St. Thomas"
Barbados,BRB,BRBr104,"St. Lucy, St. Peter, St. Andrew, St. Joseph, and St. John"
Belarus,BLR,BLRt,Total
Belarus,BLR,BLRr101,Brest region
Belarus,BLR,BLRr103,Gomel region
Belarus,BLR,BLRr104,Grodno region
Belarus,BLR,BLRr105,Minsk region
Belarus,BLR,BLRr106,Mogilev region
Belarus,BLR,BLRr102,Vitebsk region
Belgium,BEL,BELt,Total
Belgium,BEL,BELr101,Bruxelles - Brussel
Belgium,BEL,BELr102,Prov. Antwerpen
Belgium,BEL,BELr107,Prov. Brabant Wallon
Belgium,BEL,BELr108,Prov. Hainaut
Belgium,BEL,BELr109,Prov. Liege
Belgium,BEL,BELr103,Prov. Limburg
Belgium,BEL,BELr110,Prov. Luxembourg
Belgium,BEL,BELr111,Prov. Namur
Belgium,BEL,BELr104,Prov. Oost-Vlaanderen
Belgium,BEL,BELr105,Prov. Vlaams-Brabant
Belgium,BEL,BELr106,Prov. West-Vlaanderen
Belize,BLZ,BLZt,Total
Belize,BLZ,BLZr102,Belize
Belize,BLZ,BLZr103,Cayo
Belize,BLZ,BLZr101,"Corozal, Orange Walk"
Belize,BLZ,BLZr104,"Stann Creek, Toledo"
Benin,BEN,BENt,Total
Benin,BEN,BENr101,Atacora (incl Donga)
Benin,BEN,BENr102,Atlantique (incl Littoral (Cotonou))
Benin,BEN,BENr103,Borgou (incl Alibori)
Benin,BEN,BENr104,Mono (incl Couffo)
Benin,BEN,BENr105,Queme (incl Plateau)
Benin,BEN,BENr106,Zou (incl Collines)
Bhutan,BTN,BTNt,Total
Bhutan,BTN,BTNr101,Bumthang
Bhutan,BTN,BTNr102,Chukha
Bhutan,BTN,BTNr103,Dagana
Bhutan,BTN,BTNr104,Gasa
Bhutan,BTN,BTNr105,Haa
Bhutan,BTN,BTNr106,Lhuntse
Bhutan,BTN,BTNr107,Mongar
Bhutan,BTN,BTNr108,Paro
Bhutan,BTN,BTNr109,Pemagatshel
Bhutan,BTN,BTNr110,Punakha
Bhutan,BTN,BTNr111,Samdrup jongkhar
Bhutan,BTN,BTNr112,Samtse
Bhutan,BTN,BTNr113,Sarpang
Bhutan,BTN,BTNr114,Thimphu
Bhutan,BTN,BTNr115,Trashigang
Bhutan,BTN,BTNr116,Trashiyangtse
Bhutan,BTN,BTNr117,Trongsa
Bhutan,BTN,BTNr118,Tsirang
Bhutan,BTN,BTNr119,Wangdi
Bhutan,BTN,BTNr120,Zhemgang
Bolivia,BOL,BOLt,Total
Bolivia,BOL,BOLr108,Beni
Bolivia,BOL,BOLr101,Chuquisaca
Bolivia,BOL,BOLr103,Cochabamba
Bolivia,BOL,BOLr102,La Paz
Bolivia,BOL,BOLr104,Oruro
Bolivia,BOL,BOLr109,Pando
Bolivia,BOL,BOLr105,Potosi
Bolivia,BOL,BOLr107,Santa Cruz
Bolivia,BOL,BOLr106,Tarija
Bosnia and Herzegovina,BIH,BIHt,Total
Bosnia and Herzegovina,BIH,BIHr103,Central Bosnia
Bosnia and Herzegovina,BIH,BIHr102,Northern Bosnia
Bosnia and Herzegovina,BIH,BIHr105,Republica Srpska
Bosnia and Herzegovina,BIH,BIHr101,Western Bosnia
Bosnia and Herzegovina,BIH,BIHr104,Western herzegovina
Botswana,BWA,BWAt,Total
Botswana,BWA,BWAr101,Central
Botswana,BWA,BWAr110,Chobe
Botswana,BWA,BWAr102,Ghanzi
Botswana,BWA,BWAr103,Kgalagadi
Botswana,BWA,BWAr104,Kgatleng
Botswana,BWA,BWAr105,Kweneng
Botswana,BWA,BWAr106,North-East
Botswana,BWA,BWAr107,"North-West, Ngamiland"
Botswana,BWA,BWAr108,South-East
Botswana,BWA,BWAr109,Southern
Brazil,BRA,BRAt,Total
Brazil,BRA,BRAr102,Acre
Brazil,BRA,BRAr114,Alagoas
Brazil,BRA,BRAr106,Amapa
Brazil,BRA,BRAr103,Amazonas
Brazil,BRA,BRAr116,Bahia
Brazil,BRA,BRAr110,Ceara
Brazil,BRA,BRAr127,Distrito Federal
Brazil,BRA,BRAr118,Espirito Santo
Brazil,BRA,BRAr126,Goias
Brazil,BRA,BRAr108,Maranhao
Brazil,BRA,BRAr125,Mato Grosso
Brazil,BRA,BRAr124,Mato Grosso do Sul
Brazil,BRA,BRAr117,Minas Gerais
Brazil,BRA,BRAr105,Para
Brazil,BRA,BRAr112,Paraiba
Brazil,BRA,BRAr121,Parana
Brazil,BRA,BRAr113,Pernambuco
Brazil,BRA,BRAr109,Piaui
Brazil,BRA,BRAr119,Rio de Janeiro
Brazil,BRA,BRAr111,Rio Grande do Norte
Brazil,BRA,BRAr123,Rio Grande do Sul
Brazil,BRA,BRAr101,Rondonia
Brazil,BRA,BRAr104,Roraima
Brazil,BRA,BRAr122,Santa Catarina
Brazil,BRA,BRAr120,Sao Paulo
Brazil,BRA,BRAr115,Sergipe
Brazil,BRA,BRAr107,Tocantins
Brunei Darussalam,BRN,BRNt,Total
Bulgaria,BGR,BGRt,Total
Bulgaria,BGR,BGRr102,Severen tsentralen
Bulgaria,BGR,BGRr103,Severoiztochen
Bulgaria,BGR,BGRr101,Severozapaden
Bulgaria,BGR,BGRr104,Yugoiztochen
Bulgaria,BGR,BGRr105,Yugozapaden
Bulgaria,BGR,BGRr106,Yuzhen tsentralen
Burkina Faso,BFA,BFAt,Total
Burkina Faso,BFA,BFAr101,Boucle de Mouhoun
Burkina Faso,BFA,BFAr102,Cascades
Burkina Faso,BFA,BFAr103,Centre (incl Ouagadougou)
Burkina Faso,BFA,BFAr104,Centre-Est
Burkina Faso,BFA,BFAr105,Centre-Nord
Burkina Faso,BFA,BFAr106,Centre-Ouest
Burkina Faso,BFA,BFAr107,Centre-Sud
Burkina Faso,BFA,BFAr108,Est
Burkina Faso,BFA,BFAr109,Hauts Bassins
Burkina Faso,BFA,BFAr110,Nord
Burkina Faso,BFA,BFAr111,Plateau Central
Burkina Faso,BFA,BFAr112,Sahel
Burkina Faso,BFA,BFAr113,Sud-Ouest
Burundi,BDI,BDIt,Total
Burundi,BDI,BDIr103,"East (Cankuzo, Rutana, Ruyigi )"
Burundi,BDI,BDIr105,"Middle (Gitega, Karuzi, Muramvya, Mwaro)"
Burundi,BDI,BDIr101,"North (Kayanza, Kirundo, Muyinga, Ngozi)"
Burundi,BDI,BDIr102,"South (Bururi, Makamba)"
Burundi,BDI,BDIr104,"West (Bubanza, Buja Rural, Cibitoke, Mairie de Bujumbura)"
Cambodia,KHM,KHMt,Total
Cambodia,KHM,KHMr101,Banteay Mean Chey
Cambodia,KHM,KHMr113,Bat Dambang-Krong Pailin
Cambodia,KHM,KHMr102,Kampong Cham (incl Tboung Khmum)
Cambodia,KHM,KHMr103,Kampong Chhnang
Cambodia,KHM,KHMr104,Kampong Spueu
Cambodia,KHM,KHMr105,Kampong Thum
Cambodia,KHM,KHMr114,Kampot-Krong Kaeb-Krong Preah Sihanouk
Cambodia,KHM,KHMr106,Kandal
Cambodia,KHM,KHMr107,Kaoh Kong
Cambodia,KHM,KHMr116,Mondol Kiri-Rotanak Kiri
Cambodia,KHM,KHMr108,Phnom Penh
Cambodia,KHM,KHMr110,Pousat
Cambodia,KHM,KHMr115,Preah Vihear-Stueng Traeng-Kracheh
Cambodia,KHM,KHMr109,Prey Veaeng
Cambodia,KHM,KHMr117,Siem Reab-Otdar Mean Chey
Cambodia,KHM,KHMr111,Svay Rieng
Cambodia,KHM,KHMr112,Takaev
Cameroon,CMR,CMRt,Total
Cameroon,CMR,CMRr101,Adamaoua
Cameroon,CMR,CMRr102,Centre (incl Yaounde)
Cameroon,CMR,CMRr103,Est
Cameroon,CMR,CMRr104,Extreme Nord
Cameroon,CMR,CMRr105,Littoral (incl Douala)
Cameroon,CMR,CMRr106,Nord
Cameroon,CMR,CMRr107,Nord Ouest
Cameroon,CMR,CMRr108,Ouest
Cameroon,CMR,CMRr109,Sud
Cameroon,CMR,CMRr110,Sud Ouest
Canada,CAN,CANt,Total
Canada,CAN,CANr109,Alberta
Canada,CAN,CANr110,British Columbia
Canada,CAN,CANr107,Manitoba
Canada,CAN,CANr104,New Brunswick
Canada,CAN,CANr101,Newfoundland and Labrador
Canada,CAN,CANr103,Nova Scotia
Canada,CAN,CANr106,Ontario
Canada,CAN,CANr102,"Prince Edward Island, Yukon Territory, Northwest Territories, Nunavut"
Canada,CAN,CANr105,Quebec
Canada,CAN,CANr108,Saskatchewan
Cape Verde,CPV,CPVt,Total
Cape Verde,CPV,CPVr105,Fogo
Cape Verde,CPV,CPVr101,S.Antao
Cape Verde,CPV,CPVr102,S.Vicente
Cape Verde,CPV,CPVr104,Santiago- Praia
Cape Verde,CPV,CPVr103,Santiago-Interior
