,project_id,project_location_id,precision_code,geoname_id,place_name,latitude,longitude,location_type_code,location_type_name,gazetteer_adm_code,gazetteer_adm_name,location_class,geographic_exactness,project_title,start_actual_isodate,end_actual_isodate,donors_iso3,recipients,recipients_iso3,ad_sector_codes,ad_sector_names,ad_purpose_codes,ad_purpose_names,status,transactions_start_year,transactions_end_year,project_total_commitments,total_disbursements,even_split_commitments,even_split_disbursements,recommended_for_research,umbrella,year,year_uncertain,crs_sector_code,crs_sector_name,flow,all_recipients,recipient_condensed,sources_count,funding_agency,cofinancing_agency,implementing_agency,recipient_agencies,recipient_agencies_count,flow_class,intent,amount,currency,deflators_used,exchange_rates_used,usd_defl_2014,usd_current,start_actual,start_planned,end_actual,end_planned,recipient_count,recipient_cow_code,recipient_oecd_code,recipient_oecd_name,recipient_iso3,recipient_iso2,recipient_un_code,recipient_imf_code,line_of_credit,is_cofinanced,is_ground_truthing,loan_type,interest_rate,maturity,grace_period,grant_element,location_details,contacts,source_triangulation,field_completeness,round_coded,geometry,index_right,GDLCODE,iso_code,country,region,layer,path,Continent
2951,36820,36820_1176615,1,1176615,Islamabad,33.72148,73.04329,PPLC,capital of a political entity,6295630|6255147|PK|08|1176615,Earth|Asia|Pakistan|Islāmābād Capital Territory|Islamabad,2,1,Mayor of Beijing donates 50000 USD for flood relief in Pakistan,2010-09-07,2010-09-07,CHN,Pakistan,PAK,700,Emergency Response,,,Completion,2010,2010,62885.0,,62885.0,,True,False,2010,False,700,Emergency Response,Grant,Pakistan,Pakistan,4,"Unspecified Chinese Government Institution, Government Agency",,,,,ODA-like,Development,50000.0,USD,0.795103379,1.0,62885.0,50000.0,2010-09-07,,2010-09-07,,1,770,665,Pakistan,PAK,PK,586,564,False,False,False,,,,,,Islamabad,"Imtiaz Inayat Elahi, Chairman of the CDA ",4,8,AdditionalCoded,POINT (73.04329 33.72148),928.0,PAKr101,PAK,Pakistan,Punjab (incl Islamabad),GDL-SHP-Clean-v3,C:/Users/fstev/mthesis/shapefiles/GDL-SHP-Clean-v3.shp,AS
2952,36828,36828_1167710,4,1167710,Punjab,30.85,72.31667,ADM1,first-order administrative division,6295630|6255147|PK|04,Earth|Asia|Pakistan|Punjab,1,2,"Ningxia Province donates RMB 500,000 to flood-hit Pakistan (linked to #36830)",,2010-08-28,CHN,Pakistan,PAK,700,Emergency Response,,,Completion,2010,2010,92884.0,,92884.0,,True,False,2010,False,700,Emergency Response,Grant,Pakistan,Pakistan,6,"Unspecified Chinese Government Institution, Government Agency",,,,,ODA-like,Development,500000.0,CNY,0.795103379,6.770269029,92884.0,73852.0,,,2010-08-28,,1,770,665,Pakistan,PAK,PK,586,564,False,False,False,,,,,,Punjab Province,"Jiang Yu, spokeswoman (China Ministry of Foreign Affairs)",8,7,AdditionalCoded,POINT (72.31667 30.85),928.0,PAKr101,PAK,Pakistan,Punjab (incl Islamabad),GDL-SHP-Clean-v3,C:/Users/fstev/mthesis/shapefiles/GDL-SHP-Clean-v3.shp,AS
2953,36830,36830_1167710,4,1167710,Punjab,30.85,72.31667,ADM1,first-order administrative division,6295630|6255147|PK|04,Earth|Asia|Pakistan|Punjab,1,2,"Sichuan Province donates RMB 100,000 to flood-hit Pakistan (linked to #36828)",,2010-08-28,CHN,Pakistan,PAK,700,Emergency Response,,,Completion,2010,2010,18577.0,,18577.0,,True,False,2010,False,700,Emergency Response,Grant,Pakistan,Pakistan,6,"Unspecified Chinese Government Institution, Government Agency",,,,,ODA-like,Development,100000.0,CNY,0.795103379,6.770269029,18577.0,14770.0,,,2010-08-28,,1,770,665,Pakistan,PAK,PK,586,564,False,False,False,,,,,,Punjab Province,"Jiang Yu, spokeswoman (China Ministry of Foreign Affairs)",8,7,AdditionalCoded,POINT (72.31667 30.85),928.0,PAKr101,PAK,Pakistan,Punjab (incl Islamabad),GDL-SHP-Clean-v3,C:/Users/fstev/mthesis/shapefiles/GDL-SHP-Clean-v3.shp,AS
2954,36859,36859_1164807,4,1164807,Sindh,26.133329999999997,68.76666999999999,ADM1,first-order administrative division,6295630|6255147|PK|05,Earth|Asia|Pakistan|Sindh,1,2,"China dispatches 4 army helicopters for flood-relief in Sindh, Pakistan (linked to #36860)",2010-09-21,,CHN,Pakistan,PAK,700,Emergency Response,,,Completion,2010,2010,,,,,True,False,2010,False,700,Emergency Response,Free-standing technical assistance,Pakistan,Pakistan,8,"Unspecified Chinese Government Institution, Government Agency",,,,,ODA-like,Development,,,,,,,2010-09-21,,,,1,770,665,Pakistan,PAK,PK,586,564,False,False,False,,,,,,Sindh,"Zhao Bin, Head of chinese rescue team ; Liu Jian, Head of Mission ",9,7,AdditionalCoded,POINT (68.76666999999999 26.13333),929.0,PAKr102,PAK,Pakistan,Sindh,GDL-SHP-Clean-v3,C:/Users/fstev/mthesis/shapefiles/GDL-SHP-Clean-v3.shp,AS
2955,36859,36859_1175678,2,1175678,Johi,26.69225,67.61431,PPL,populated place,6295630|6255147|PK|05|1175678,Earth|Asia|Pakistan|Sindh|Johi,2,2,"China dispatches 4 army helicopters for flood-relief in Sindh, Pakistan (linked to #36860)",2010-09-21,,CHN,Pakistan,PAK,700,Emergency Response,,,Completion,2010,2010,,,,,True,False,2010,False,700,Emergency Response,Free-standing technical assistance,Pakistan,Pakistan,8,"Unspecified Chinese Government Institution, Government Agency",,,,,ODA-like,Development,,,,,,,2010-09-21,,,,1,770,665,Pakistan,PAK,PK,586,564,False,False,False,,,,,,Sindh,"Zhao Bin, Head of chinese rescue team ; Liu Jian, Head of Mission ",9,7,AdditionalCoded,POINT (67.61431 26.69225),929.0,PAKr102,PAK,Pakistan,Sindh,GDL-SHP-Clean-v3,C:/Users/fstev/mthesis/shapefiles/GDL-SHP-Clean-v3.shp,AS
2956,36859,36859_1180809,2,1180809,Dadu,26.732870000000002,67.77631,PPLA2,seat of a second-order administrative division,6295630|6255147|PK|05|1180809,Earth|Asia|Pakistan|Sindh|Dadu,2,2,"China dispatches 4 army helicopters for flood-relief in Sindh, Pakistan (linked to #36860)",2010-09-21,,CHN,Pakistan,PAK,700,Emergency Response,,,Completion,2010,2010,,,,,True,False,2010,False,700,Emergency Response,Free-standing technical assistance,Pakistan,Pakistan,8,"Unspecified Chinese Government Institution, Government Agency",,,,,ODA-like,Development,,,,,,,2010-09-21,,,,1,770,665,Pakistan,PAK,PK,586,564,False,False,False,,,,,,Sindh,"Zhao Bin, Head of chinese rescue team ; Liu Jian, Head of Mission ",9,7,AdditionalCoded,POINT (67.77631 26.73287),929.0,PAKr102,PAK,Pakistan,Sindh,GDL-SHP-Clean-v3,C:/Users/fstev/mthesis/shapefiles/GDL-SHP-Clean-v3.shp,AS
2957,36860,36860_1176733,3,1176733,Hyderābād District,25.43244,68.48421,ADM2,second-order administrative division,6295630|6255147|PK|05|1176733,Earth|Asia|Pakistan|Sindh|Hyderābād District,1,2,"China sends 64 member rescue team for flood relief in Hyderabad, Pakistan (linked to #36859 and #36861)",2010-09-20,2010-09-25,CHN,Pakistan,PAK,700,Emergency Response,,,Completion,2010,2010,,,,,True,False,2010,False,700,Emergency Response,Free-standing technical assistance,Pakistan,Pakistan,6,"Unspecified Chinese Government Institution, Government Agency",,,,,ODA-like,Development,,,,,,,2010-09-20,,2010-09-25,,1,770,665,Pakistan,PAK,PK,586,564,False,False,False,,,,,,Hyderabad,,7,6,AdditionalCoded,POINT (68.48421 25.43244),929.0,PAKr102,PAK,Pakistan,Sindh,GDL-SHP-Clean-v3,C:/Users/fstev/mthesis/shapefiles/GDL-SHP-Clean-v3.shp,AS
2958,36861,36861_1165789,1,1165789,Sehwān,26.42495,67.86126,PPL,populated place,6295630|6255147|PK|05|1165789,Earth|Asia|Pakistan|Sindh|Sehwān,2,1,"China sends 68 member medical team to Sehwan, Pakistan for flood relief (linked to #37069 and #36860)",2010-09-20,,CHN,Pakistan,PAK,700,Emergency Response,,,Completion,2010,2010,,,,,True,False,2010,False,700,Emergency Response,Free-standing technical assistance,Pakistan,Pakistan,5,"Unspecified Chinese Government Institution, Government Agency",,"China's People's Liberation Army, Government Agency",,,ODA-like,Development,,,,,,,2010-09-20,,,,1,770,665,Pakistan,PAK,PK,586,564,False,False,False,,,,,,"Sehwan, Sindh Province",,5,8,AdditionalCoded,POINT (67.86126 26.42495),929.0,PAKr102,PAK,Pakistan,Sindh,GDL-SHP-Clean-v3,C:/Users/fstev/mthesis/shapefiles/GDL-SHP-Clean-v3.shp,AS
2959,36862,36862_11594105,1,11594105,Chashma Nuclear Power Plant,32.38742,71.46852,PS,power station,6295630|6255147|PK|04|11594105,Earth|Asia|Pakistan|Punjab|Chashma Nuclear Power Plant,3,1,China commits to Pakistan nuclear plant construction assistance,,,CHN,Pakistan,PAK,230,Energy Generation and Supply,,,Implementation,2013,2013,,,,,True,False,2013,False,230,Energy Generation and Supply,Loan (excluding debt rescheduling),Pakistan,Pakistan,8,"Unspecified Chinese Government Institution, Government Agency",,,"China National Nuclear Corporation, State-Owned Company",1.0,OOF-like,Mixed,,,,,,,,,,,1,770,665,Pakistan,PAK,PK,586,564,False,False,False,,,,,,,"Qiu Jiangang, vice president (China National Nuclear Corporation); Asif Durrani, Pakistan's deputy high commissioner in the UK ",10,5,AdditionalCoded,POINT (71.46852 32.38742),928.0,PAKr101,PAK,Pakistan,Punjab (incl Islamabad),GDL-SHP-Clean-v3,C:/Users/fstev/mthesis/shapefiles/GDL-SHP-Clean-v3.shp,AS
2960,36943,36943_11594329,1,11594329,Pakistan Bait-ul-Maal,33.6778,73.0691,BLDG,building(s),6295630|6255147|PK|04|11594329,Earth|Asia|Pakistan|Punjab|Pakistan Bait-ul-Maal,3,1,China donates 40000 wheel chairs to Pakistani charity Bait ul Maal,,,CHN,Pakistan,PAK,530,Non-food commodity assistance,,,Completion,2010,2010,36906965.0,,36906965.0,,True,False,2010,False,530,Non-food commodity assistance,Grant,Pakistan,Pakistan,3,"Unspecified Chinese Government Institution, Government Agency",,"Pakistan Bait-ul-Mal (PBM) , Government Agency","Pakistan Bait-ul-Mal (PBM) , Government Agency",1.0,ODA-like,Development,2500000000.0,PKR,0.795103379,85.19381633,36906965.0,29344853.0,,,,,1,770,665,Pakistan,PAK,PK,586,564,False,False,False,,,,,,,"Zamurd Khan, Managing Director (Pakistan Bait-ul-Mal (PBM) )",3,8,AdditionalCoded,POINT (73.06910000000001 33.6778),928.0,PAKr101,PAK,Pakistan,Punjab (incl Islamabad),GDL-SHP-Clean-v3,C:/Users/fstev/mthesis/shapefiles/GDL-SHP-Clean-v3.shp,AS
