,year,reg_iwipov50,irreg_iwipov50,L3_steel
0,1991,0.836875,0.7931666666666667,
1,1992,0.8645999999999999,0.6904444444444445,
2,1993,0.8685833333333334,0.6403000000000001,
3,1994,0.8361875000000001,0.6666363636363637,
4,1995,0.84855,0.625,
5,1996,0.8438095238095236,0.6203076923076923,
6,1997,0.8255999999999999,0.5497133333333334,
7,1998,0.8166,0.51834375,
8,1999,0.8074666666666667,0.46401666666666663,
9,2000,0.7968333333333334,0.45656666666666684,
10,2001,0.795,0.4486777777777778,114.588
11,2002,0.7762166666666668,0.3546846153846153,123.954
12,2003,0.7523315789473685,0.3048828571428571,128.5
13,2004,0.7465825000000001,0.2875459459459459,151.634
14,2005,0.7384414634146342,0.2965552631578947,182.366
15,2006,0.7244121951219512,0.2717162162162162,222.336
16,2007,0.7100880952380952,0.2554657894736842,272.798
17,2008,0.6934619047619047,0.23389750000000004,355.79
18,2009,0.6719581395348835,0.21613902439024396,421.024
19,2010,0.6414454545454545,0.21553684210526317,489.712
20,2011,0.6234627906976743,0.2095513513513514,512.339
21,2012,0.6061093023255814,0.1988583333333333,577.07
22,2013,0.5908767441860465,0.18964999999999999,638.743
23,2014,0.5855785714285716,0.16046176470588236,701.968
24,2015,0.5629179487179488,0.16677407407407407,731.04
25,2016,0.5627138888888888,0.1849608695652174,822.0
26,2017,0.5590451612903226,0.21340000000000003,822.306
27,2018,0.5535636363636365,0.2644461538461539,803.825
