Country,ISO_Code,Level,GDLCODE,Region,"1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Angola","AGO","Subnat","AGOr214"," Namibe",,,,,,,,,,,,,,,,,,,,,51.3,,,,,65.6,,
"Angola","AGO","Subnat","AGOr203"," Uige",,,,,,,,,,,,,,,,,,,,,26.3,,,,,35.3,,
"Angola","AGO","Subnat","AGOr202"," Zaire",,,,,,,,,,,,,,,,,,,,,0.00,,,,,73.2,,
"Argentina","ARG","Subnat","ARGr103","Catamarca, La Rioja, San Juan",,,,,,,,,,,,,,,,,,,,,100,,,,,,,
"Argentina","ARG","Subnat","ARGr106","Chaco, Formosa",,,,,,,,,,,,,,,,,,,,,100,,,,,,,
"Argentina","ARG","Subnat","ARGr107","Chubut, Neuquen, Rio Negro, Santa Cruz, Tierra del Fuego",,,,,,,,,,,,,,,,,,,,,100,,,,,,,
"Argentina","ARG","Subnat","ARGr101","City of Buenos Aires",,,,,,,,,,,,,,,,,,,,,100,,,,,,,
"Argentina","ARG","Subnat","ARGr104","Cordoba",,,,,,,,,,,,,,,,,,,,,100,,,,,,,
"Argentina","ARG","Subnat","ARGr105","Corrientes, Entre Rios, Misiones",,,,,,,,,,,,,,,,,,,,,100,,,,,,,
"Argentina","ARG","Subnat","ARGr108","Jujuy, Salta",,,,,,,,,,,,,,,,,,,,,100,,,,,,,
"Argentina","ARG","Subnat","ARGr109","La Pampa, San Luis, Mendoza",,,,,,,,,,,,,,,,,,,,,100,,,,,,,
"Argentina","ARG","Subnat","ARGr102","Rest of Buenos Aires",,,,,,,,,,,,,,,,,,,,,100,,,,,,,
"Argentina","ARG","Subnat","ARGr110","Santa Fe",,,,,,,,,,,,,,,,,,,,,100,,,,,,,
"Argentina","ARG","Subnat","ARGr111","Santiago del Estero, Tucuman",,,,,,,,,,,,,,,,,,,,,100,,,,,,,
"Armenia","ARM","Subnat","ARMr101","Aragatsotn",,,,,,,,,,23.6,,,,,,,,,,19.3,,,,,,21.1,,
"Armenia","ARM","Subnat","ARMr102","Ararat",,,,,,,,,,18.9,,,,,,,,,,25.8,,,,,,27.2,,
"Armenia","ARM","Subnat","ARMr103","Armavir",,,,,,,,,,26.0,,,,,,,,,,34.3,,,,,,32.3,,
"Armenia","ARM","Subnat","ARMr104","Gegharkunik",,,,,,,,,,26.2,,,,,,,,,,30.9,,,,,,35.5,,
"Armenia","ARM","Subnat","ARMr106","Kotayk",,,,,,,,,,51.5,,,,,,,,,,53.3,,,,,,50.8,,
"Armenia","ARM","Subnat","ARMr105","Lori",,,,,,,,,,51.6,,,,,,,,,,55.0,,,,,,56.4,,
"Armenia","ARM","Subnat","ARMr107","Shirak",,,,,,,,,,66.0,,,,,,,,,,54.5,,,,,,51.2,,
"Armenia","ARM","Subnat","ARMr108","Syunik",,,,,,,,,,64.0,,,,,,,,,,62.4,,,,,,59.7,,
"Armenia","ARM","Subnat","ARMr110","Tavush",,,,,,,,,,28.4,,,,,,,,,,30.6,,,,,,35.4,,
"Armenia","ARM","Subnat","ARMr109","Vayots Dzor",,,,,,,,,,31.2,,,,,,,,,,28.4,,,,,,34.0,,
"Armenia","ARM","Subnat","ARMr111","Yerevan",,,,,,,,,,100,,,,,,,,,,100,,,,,,100,,
"Azerbaijan","AZE","Subnat","AZEr102","Absheron",,,,,,,,,,,,,,,,95.1,,,,,,,,,,,,
"Azerbaijan","AZE","Subnat","AZEr107","Aran",,,,,,,,,,,,,,,,32.1,,,,,,,,,,,,
"Azerbaijan","AZE","Subnat","AZEr101","Baku",,,,,,,,,,,,,,,,100,,,,,,,,,,,,
"Azerbaijan","AZE","Subnat","AZEr109","Dakhlik Shirvan",,,,,,,,,,,,,,,,23.5,,,,,,,,,,,,
"Azerbaijan","AZE","Subnat","AZEr103","Ganja Gazakh",,,,,,,,,,,,,,,,43.1,,,,,,,,,,,,
"Azerbaijan","AZE","Subnat","AZEr106","Guba Khachmaz",,,,,,,,,,,,,,,,34.2,,,,,,,,,,,,
"Azerbaijan","AZE","Subnat","AZEr105","Lankaran",,,,,,,,,,,,,,,,20.6,,,,,,,,,,,,
"Azerbaijan","AZE","Subnat","AZEr104","Shaki Zaqatala",,,,,,,,,,,,,,,,24.5,,,,,,,,,,,,
"Azerbaijan","AZE","Subnat","AZEr108","Yukhari Karabakh",,,,,,,,,,,,,,,,10.4,,,,,,,,,,,,
"Bangladesh","BGD","Subnat","BGDr214"," Bagerhat, Khulna, Satkhira",,,,,,14.4,,,,,,,,31.3,,,,,,,28.0,,,24.3,,,,
"Bangladesh","BGD","Subnat","BGDr204"," Bandarban, Cox s Bazar",,,,,,0.00,,,,,,,,0.00,,,,,,,9.42,,,40.3,,,,
"Bangladesh","BGD","Subnat","BGDr202"," Barguna, Bhola, Patuakhali",,,,,,4.31,,,,,,,,17.7,,,,,,,15.1,,,18.1,,,,
"Bangladesh","BGD","Subnat","BGDr201"," Barisal, Jhalokati, Pirojpur",,,,,,10.3,,,,,,,,22.1,,,,,,,26.6,,,42.4,,,,
"Bangladesh","BGD","Subnat","BGDr219"," Bogra, Gaibandha, Jaypurhat",,,,,,3.87,,,,,,,,9.56,,,,,,,13.3,,,20.6,,,,
"Bangladesh","BGD","Subnat","BGDr207"," Brahmanbaria, Chandpur, Comilla",,,,,,5.35,,,,,,,,14.9,,,,,,,16.2,,,15.4,,,,
"Bangladesh","BGD","Subnat","BGDr203"," Chittagong",,,,,,27.2,,,,,,,,55.0,,,,,,,39.0,,,54.8,,,,
"Bangladesh","BGD","Subnat","BGDr216"," Chuadanga, Jhenaidah, Kushtia, Meherpur",,,,,,8.25,,,,,,,,12.3,,,,,,,19.1,,,19.4,,,,
"Bangladesh","BGD","Subnat","BGDr208"," Dhaka",,,,,,71.2,,,,,,,,84.9,,,,,,,91.3,,,81.3,,,,
"Bangladesh","BGD","Subnat","BGDr220"," Dinajpur, Nilphamari, Panchagarh, Thakurgaon",,,,,,7.52,,,,,,,,12.0,,,,,,,14.0,,,12.9,,,,
"Bangladesh","BGD","Subnat","BGDr212"," Faridpur, Manikganj, Rajbari",,,,,,7.19,,,,,,,,26.5,,,,,,,0.00,,,12.3,,,,
"Bangladesh","BGD","Subnat","BGDr206"," Feni, Lakshmipur, Noakhali",,,,,,5.25,,,,,,,,18.5,,,,,,,21.8,,,15.3,,,,
"Bangladesh","BGD","Subnat","BGDr209"," Gazipur, Narayanganj, Narsingdi",,,,,,14.4,,,,,,,,32.2,,,,,,,44.3,,,36.5,,,,
"Bangladesh","BGD","Subnat","BGDr213"," Gopalganj, Madaripur, Munshiganj, Shariatpur",,,,,,0.00,,,,,,,,3.68,,,,,,,10.5,,,2.17,,,,
"Bangladesh","BGD","Subnat","BGDr223"," Habiganj, Sunamganj",,,,,,3.43,,,,,,,,7.14,,,,,,,10.4,,,10.6,,,,
"Bangladesh","BGD","Subnat","BGDr210"," Jamalpur, Sherpur, Tangail",,,,,,8.61,,,,,,,,7.70,,,,,,,13.0,,,23.0,,,,
"Bangladesh","BGD","Subnat","BGDr215"," Jessore, Magura, Narail",,,,,,7.82,,,,,,,,17.8,,,,,,,14.6,,,27.6,,,,
"Bangladesh","BGD","Subnat","BGDr205"," Khagrachhari, Rangamati (Chattagram)",,,,,,0.00,,,,,,,,10.8,,,,,,,8.39,,,22.3,,,,
